Symbol,P/E Ratio,P/B Ratio,ROE,Market Cap,1y Return,GICS Sector,GICS Sub-Industry
GD,19.751335,3.0943334,0.16952999,71200473088.0,0.025301917689301574,Industrials,Aerospace & Defense
GIS,14.09674,3.8582141,0.24168,35807408128.0,-0.005749769901582918,Consumer Staples,Packaged Foods & Meats
GM,5.4247603,0.78823316,0.14167,55892668416.0,0.39910445896798186,Consumer Discretionary,Automobile Manufacturers
GPC,14.9213915,3.4288845,0.24416,16098978816.0,-0.16330658699180234,Consumer Discretionary,Distributors
GILD,1009.55554,6.12801,0.00561,113236090880.0,0.1310842591718465,Health Care,Biotechnology
GPN,20.963207,1.2390846,0.06064,28275668992.0,-0.13321103365980969,Financials,Transaction & Payment Processing Services
GL,8.972881,1.9236568,0.23546,8888107008.0,-0.13170415668726365,Financials,Life & Health Insurance
GDDY,16.294306,79.93312,,28526049280.0,0.9336695746169729,Information Technology,Internet Services & Infrastructure
GS,16.400927,1.7081223,0.1017,175663923200.0,0.4706567370453281,Financials,Investment Banking & Brokerage
HAL,9.104896,2.2205167,0.26293,22876192768.0,-0.2730317940429806,Energy,Oil & Gas Equipment & Services
HIG,10.813252,1.8784337,0.19740999,31221260288.0,0.34894791944184633,Financials,Property & Casualty Insurance
HAS,,6.246218,-0.36224997,8040850944.0,0.14410673580268973,Consumer Discretionary,Leisure Products
HCA,13.432165,,11.954511,75735801856.0,0.10581006620662879,Health Care,Health Care Facilities
DOC,40.867344,1.6356285,0.04085,14006345728.0,0.024296695652513262,Real Estate,Health Care REITs
HSIC,28.331964,2.4698987,0.06334,8619197440.0,-0.06770066310395043,Health Care,Health Care Distributors
HSY,19.504602,8.156248,0.43405998,34298161152.0,-0.06722255872189949,Consumer Staples,Packaged Foods & Meats
HES,15.002336,3.6488252,0.2885,39614734336.0,-0.11091897668510643,Energy,Integrated Oil & Gas
HPE,10.875648,1.2344154,0.086660005,27224029184.0,0.2553828129857137,Information Technology,"Technology Hardware, Storage & Peripherals"
HLT,52.707268,,,60133212160.0,0.39180727932848586,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,21.503012,3.253281,0.13846,16201317376.0,0.00577621884086307,Health Care,Health Care Equipment
HD,26.46884,66.77273,4.04933,387298328576.0,0.10137284273481638,Consumer Discretionary,Home Improvement Retail
HON,26.205305,8.487746,0.31865,147736117248.0,0.11701083464078303,Industrials,Industrial Conglomerates
HRL,21.585033,2.2116122,0.10005,17420181504.0,0.02091375869130845,Consumer Staples,Packaged Foods & Meats
HST,17.237864,1.8490938,0.105229996,12579932160.0,-0.07284597835781761,Real Estate,Hotel & Resort REITs
HWM,42.27308,10.060412,0.25719,44652146688.0,1.0816288873156474,Industrials,Aerospace & Defense
HPQ,11.626334,,,30637858816.0,0.06140342560550417,Information Technology,"Technology Hardware, Storage & Peripherals"
HUBB,30.475557,7.076809,0.25344,22751729664.0,0.30263042155201436,Industrials,Industrial Machinery & Supplies & Components
HUM,20.339573,1.5978853,0.078379996,28066781184.0,-0.494882522268025,Health Care,Managed Health Care
HBAN,15.606797,1.282307,0.08545,23353921536.0,0.2500000926977393,Financials,Regional Banks
HII,10.669305,1.7571267,0.17666,7385264128.0,-0.25561032056214933,Industrials,Aerospace & Defense
IBM,32.603085,8.471376,0.26729,207104950272.0,0.3806521973249385,Information Technology,IT Consulting & Other Services
IEX,32.87461,4.220809,0.13592,16081355776.0,0.0048260656930016925,Industrials,Industrial Machinery & Supplies & Components
IDXX,39.79117,20.881134,0.59424,33723281408.0,-0.23884416627344882,Health Care,Health Care Equipment
ITW,22.493505,22.624748,1.08036,76718940160.0,0.005651434062763392,Industrials,Industrial Machinery & Supplies & Components
INCY,739.8888,4.0485163,0.00802,12828562432.0,0.0688603074376617,Health Care,Biotechnology
IR,45.20488,3.640542,0.08479,37347123200.0,0.23824161816570752,Industrials,Industrial Machinery & Supplies & Components
PODD,43.7155,16.099503,0.48786,17999855616.0,0.23984144483782274,Health Care,Health Care Equipment
INTC,,0.83510107,-0.15597,83197771776.0,-0.5821056980222497,Information Technology,Semiconductors
ICE,35.528572,3.1451817,0.09408,85678694400.0,0.21218524021406185,Financials,Financial Exchanges & Data
IFF,,1.4933457,-0.1453,22062800896.0,0.08377289548927636,Materials,Specialty Chemicals
IP,45.884617,2.1613188,0.04797,18650599424.0,0.43427734265520457,Materials,Paper & Plastic Packaging Products & Materials
IPG,13.700473,2.9039192,0.21792999,10819698688.0,-0.11582948476617705,Communication Services,Advertising
INTU,63.28189,9.879979,0.16597,181919465472.0,0.06802685061367157,Information Technology,Application Software
ISRG,85.253624,12.101419,0.15973,188570075136.0,0.6322644607073135,Health Care,Health Care Equipment
IVZ,,0.7073834,-0.00944,7600030208.0,-0.03591796095959857,Financials,Asset Management & Custody Banks
INVH,44.72222,1.9892507,0.04369,19725914112.0,-0.05875470258183981,Real Estate,Single-Family Residential REITs
IQV,25.048683,4.9620743,0.22001,34552156160.0,-0.16032994842890066,Health Care,Life Sciences Tools & Services
IRM,284.9583,,0.54398996,30104594432.0,0.5103798858960663,Real Estate,Other Specialized REITs
JBHT,30.74909,4.262849,0.14192,17052368896.0,-0.16368314659137126,Industrials,Cargo Ground Transportation
JBL,13.213138,9.15428,0.60295,15614123008.0,0.051801928501479265,Information Technology,Electronic Manufacturing Services
JKHY,32.449726,6.7273073,0.22278,12950275072.0,0.07994645498206981,Financials,Transaction & Payment Processing Services
J,28.08768,2.5264778,0.093260005,16685246464.0,0.2701661922685813,Industrials,Construction & Engineering
JNJ,23.835537,4.948017,0.20889,347190853632.0,-0.07060454738652432,Health Care,Pharmaceuticals
JCI,38.134617,3.2780921,0.0805,52524515328.0,0.5125858461488324,Industrials,Building Products
JPM,13.011118,2.0327399,0.16216,658986631168.0,0.4166314433015872,Financials,Diversified Banks
JNPR,49.20395,2.66517,0.055760004,12381073408.0,0.27584446056424855,Information Technology,Communications Equipment
K,26.93709,7.606186,0.26036,27762630656.0,0.4978965956682719,Consumer Staples,Packaged Foods & Meats
KVUE,39.10909,3.8721874,0.098809995,41240264704.0,0.024773723841540127,Consumer Staples,Personal Care Products
KDP,19.584337,1.7660798,0.09052,44098187264.0,0.01689080449723822,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,inf,1.1772221,0.0096700005,16896418816.0,0.190293326783704,Financials,Regional Banks
KEYS,45.555553,5.3050656,0.18031,27690360832.0,0.008641866698647914,Information Technology,Electronic Equipment & Instruments
KMB,17.095856,34.253826,2.30998,44013346816.0,0.10498989475728254,Consumer Staples,Household Products
KIM,43.444443,1.5027864,0.03829,15813940224.0,0.05060453043562117,Real Estate,Retail REITs
KMI,23.02876,1.9013956,0.083500005,57812623360.0,0.48785016723925295,Energy,Oil & Gas Storage & Transportation
KKR,45.024765,5.358906,0.08284,134202507264.0,0.7352344220521825,Financials,Asset Management & Custody Banks
KLAC,28.939241,23.814142,0.90577006,84734279680.0,0.08263116774471485,Information Technology,Semiconductor Materials & Equipment
KHC,27.355856,0.75961876,0.027999999,36716449792.0,-0.1701284601123308,Consumer Staples,Packaged Foods & Meats
KR,16.243387,4.9764953,0.24285999,44429410304.0,0.39197462426399954,Consumer Staples,Food Retail
LHX,33.536312,2.1146736,0.06258,40200036352.0,0.01717856877139394,Industrials,Aerospace & Defense
LH,42.941177,2.3183389,0.05432,18927572992.0,0.030979512764272493,Health Care,Health Care Services
LRCX,23.167929,10.917934,0.49116,92112723968.0,-0.07448094224553158,Information Technology,Semiconductor Materials & Equipment
LW,14.291102,4.726349,0.37015,8681380864.0,-0.41646602912142694,Consumer Staples,Packaged Foods & Meats
LVS,25.514853,10.905629,0.45166,37367840768.0,0.07666601348507865,Consumer Discretionary,Casinos & Gaming
LDOS,16.381683,4.161224,0.27035,19213684736.0,0.3388655604955283,Industrials,Diversified Support Services
LEN,9.631285,1.3647069,0.15878001,37208334336.0,-0.07609861135614533,Consumer Discretionary,Homebuilding
LLY,81.59243,47.692257,0.65318,678740754432.0,0.3193657951519493,Health Care,Pharmaceuticals
LIN,32.09795,5.1383877,0.1619,201286287360.0,0.03767982208142795,Materials,Industrial Gases
LYV,149.60674,106.01114,0.35808998,30704257024.0,0.4317203644783266,Communication Services,Movies & Entertainment
LKQ,13.499999,1.5328696,0.117740005,9510636544.0,-0.21491415702964412,Consumer Discretionary,Distributors
LMT,17.407675,15.759801,0.81037,113966432256.0,0.08825058384787697,Industrials,Aerospace & Defense
L,10.888297,1.0327821,0.10669,17733322752.0,0.20411760666791132,Financials,Multi-line Insurance
LOW,20.469425,,,138927898624.0,0.09066226216438476,Consumer Discretionary,Home Improvement Retail
LULU,26.786127,11.056698,0.43159,45147762688.0,-0.24567613301928615,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
LYB,11.1919565,1.7462591,0.1586,23952451584.0,-0.22379499201129618,Materials,Specialty Chemicals
MTB,13.907846,1.1788381,0.08676,31175725056.0,0.31616006936357616,Financials,Regional Banks
MPC,10.265605,2.2696934,0.21053,42494369792.0,-0.10890289330818105,Energy,Oil & Gas Refining & Marketing
MKTX,31.158321,6.2660894,0.21625,8681815040.0,-0.17528658868361907,Financials,Financial Exchanges & Data
MAR,29.392147,,,78003175424.0,0.269309071624055,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MMC,26.041357,7.5669036,0.32048,103594811392.0,0.12727128614177038,Financials,Insurance Brokers
MLM,16.428528,3.531639,0.23437001,32381591552.0,0.0813977317305947,Materials,Construction Materials
MAS,19.453457,,5.70874,15780959232.0,0.0656322449515838,Industrials,Building Products
MA,39.832703,65.066154,1.7757801,482953494528.0,0.25711348934236106,Financials,Transaction & Payment Processing Services
